id,content
1,long wait times very frustrating
2,waited 3 hours to see doctor
3,staff was rude and dismissive
4,poor attitude from nurses
5,excellent care and attention
6,nurses were wonderful and caring
7,professional and kind staff
8,highly satisfied with service
9,average experience nothing special
10,nothing remarkable good or bad
11,standard procedure room was okay
12,mixed feelings about visit
13,long wait times very frustrating
14,waited 3 hours to see doctor
15,staff was rude and dismissive
16,poor attitude from nurses
17,excellent care and attention
18,nurses were wonderful and caring
19,professional and kind staff
20,highly satisfied with service
21,average experience nothing special
22,nothing remarkable good or bad
23,standard procedure room was okay
24,mixed feelings about visit
25,long wait times very frustrating
26,waited 3 hours to see doctor
27,staff was rude and dismissive
28,poor attitude from nurses
29,excellent care and attention
30,nurses were wonderful and caring
31,professional and kind staff
32,highly satisfied with service
33,average experience nothing special
34,nothing remarkable good or bad
35,standard procedure room was okay
36,mixed feelings about visit
37,long wait times very frustrating
38,waited 3 hours to see doctor
39,staff was rude and dismissive
40,poor attitude from nurses
41,excellent care and attention
42,nurses were wonderful and caring
43,professional and kind staff
44,highly satisfied with service
45,average experience nothing special
46,nothing remarkable good or bad
47,standard procedure room was okay
48,mixed feelings about visit
49,long wait times very frustrating
50,waited 3 hours to see doctor
51,staff was rude and dismissive
52,poor attitude from nurses
53,excellent care and attention
54,nurses were wonderful and caring
55,professional and kind staff
56,highly satisfied with service
57,average experience nothing special
58,nothing remarkable good or bad
59,standard procedure room was okay
60,mixed feelings about visit
61,long wait times very frustrating
62,waited 3 hours to see doctor
63,staff was rude and dismissive
64,poor attitude from nurses
65,excellent care and attention
66,nurses were wonderful and caring
67,professional and kind staff
68,highly satisfied with service
69,average experience nothing special
70,nothing remarkable good or bad
71,standard procedure room was okay
72,mixed feelings about visit
73,long wait times very frustrating
74,waited 3 hours to see doctor
75,staff was rude and dismissive
76,poor attitude from nurses
77,excellent care and attention
78,nurses were wonderful and caring
79,professional and kind staff
80,highly satisfied with service
81,average experience nothing special
82,nothing remarkable good or bad
83,standard procedure room was okay
84,mixed feelings about visit
85,long wait times very frustrating
86,waited 3 hours to see doctor
87,staff was rude and dismissive
88,poor attitude from nurses
89,excellent care and attention
90,nurses were wonderful and caring
91,professional and kind staff
92,highly satisfied with service
93,average experience nothing special
94,nothing remarkable good or bad
95,standard procedure room was okay
96,mixed feelings about visit
97,long wait times very frustrating
98,waited 3 hours to see doctor
99,staff was rude and dismissive
100,poor attitude from nurses
101,excellent care and attention
102,nurses were wonderful and caring
103,professional and kind staff
104,highly satisfied with service
105,average experience nothing special
106,nothing remarkable good or bad
107,standard procedure room was okay
108,mixed feelings about visit
